사업지역,구,동,법정동_전체,사업명_연계,사업유형,공급유형
대구선폐선부지개발사업(각산지구),동구,각산동,대구광역시 동구 각산동,각산지구-대구선폐선부지개발사업,택지분양,분양(자체)
대구선폐선부지개발사업(각산지구),동구,신서동,대구광역시 동구 신서동,각산지구-대구선폐선부지개발사업,택지분양,분양(자체)
대구선폐선부지개발사업(각산지구),동구,동호동,대구광역시 동구 동호동,각산지구-대구선폐선부지개발사업,택지분양,분양(자체)
국가과학산업단지,달성군,구지면 고봉리,대구광역시 달성군 구지면 고봉리,대구국가산업단지개발사업,택지분양,분양(자체)
국가과학산업단지,달성군,구지면 예현리,대구광역시 달성군 구지면 예현리,대구국가산업단지개발사업,택지분양,분양(자체)
국가과학산업단지,달성군,구지면 응암리,대구광역시 달성군 구지면 응암리,대구국가산업단지개발사업,택지분양,분양(자체)
국가과학산업단지,달성군,구지면 창리,대구광역시 달성군 구지면 창리,대구국가산업단지개발사업,택지분양,분양(자체)
국가과학산업단지,달성군,현풍면 대리,대구광역시 달성군 현풍면 대리,대구국가산업단지개발사업,택지분양,분양(자체)
금호워터폴리스산업단지 개발사업,북구,검단동,대구광역시 북구 검단동,금호워터폴리스산업단지 조성사업,택지분양,분양(자체)
다가구매입임대사업(2005년),남구,이천동,대구광역시 남구 이천동,다가구매입임대,다가구임대,임대(자체)
다가구매입임대사업(2005년),남구,대명동,대구광역시 남구 대명동,다가구매입임대,다가구임대,임대(자체)
다가구매입임대사업(2005년),서구,내당동,대구광역시 서구 내당동,다가구매입임대,다가구임대,임대(자체)
다가구매입임대사업(2005년),서구,평리동,대구광역시 서구 평리동,다가구매입임대,다가구임대,임대(자체)
다가구매입임대사업(2005년),북구,복현동,대구광역시 북구 복현동,다가구매입임대,다가구임대,임대(자체)
다가구매입임대사업(2005년),북구,읍내동,대구광역시 북구 읍내동,다가구매입임대,다가구임대,임대(자체)
다가구매입임대사업(2005년),달서구,상인동,대구광역시 달서구 상인동,다가구매입임대,다가구임대,임대(자체)
다가구매입임대사업(2005년),달서구,감삼동,대구광역시 달서구 감삼동,다가구매입임대,다가구임대,임대(자체)
다가구매입임대사업(2005년),수성구,황금동,대구광역시 수성구 황금동,다가구매입임대,다가구임대,임대(자체)
달성2차산업단지 개발사업,달성군,구지면 예현리,대구광역시 달성군 구지면 예현리,달성2차-산업단지개발사업,택지분양,분양(자체)
달성2차산업단지 개발사업,달성군,구지면 내리,대구광역시 달성군 구지면 내리,달성2차-산업단지개발사업,택지분양,분양(자체)
달성2차산업단지 개발사업,달성군,구지면 응암리,대구광역시 달성군 구지면 응암리,달성2차-산업단지개발사업,택지분양,분양(자체)
달성2차산업단지 도로(소로2-구27호선)공사,달성군,구지면 내리,대구광역시 달성군 구지면 내리,달성2차-산업단지개발사업,택지분양,분양(자체)
달성2차산업단지하수도(낙동강방류)설치공사,달성군,구지면 내리,대구광역시 달성군 구지면 내리,달성2차-산업단지개발사업,택지분양,분양(자체)
대구경북과학기술원 학위과정부지 조성사업,달성군,현풍면 상리,대구광역시 달성군 현풍면 상리,기타 개발사업,기타,기타
대구경북과학기술원 학위과정부지 조성사업,달성군,현풍면 부리,대구광역시 달성군 현풍면 부리,기타 개발사업,기타,기타
