행정기관,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,여 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 중구 동인동,"10,907","10,907",605,644,"1,671","2,289","1,422","1,568","1,262",873,464,107,2,"5,384","5,384",310,326,770,"1,213",769,787,646,375,159,29,0,"5,523","5,523",295,318,901,"1,076",653,781,616,498,305,78,2
대구광역시 중구 삼덕동,"7,433","7,433",387,538,"1,857","1,440","1,049",890,590,428,213,40,1,"3,646","3,646",195,263,890,807,522,446,278,160,70,15,0,"3,787","3,787",192,275,967,633,527,444,312,268,143,25,1
대구광역시 중구 성내1동,"5,461","5,461",131,240,"1,676","1,078",558,597,518,382,232,46,3,"2,595","2,595",71,111,687,587,297,313,268,158,89,12,2,"2,866","2,866",60,129,989,491,261,284,250,224,143,34,1
대구광역시 중구 성내2동,"9,079","9,079",668,536,"1,850","1,758","1,251","1,160",905,619,291,41,0,"4,323","4,323",349,264,717,881,675,586,454,275,109,13,0,"4,756","4,756",319,272,"1,133",877,576,574,451,344,182,28,0
대구광역시 중구 성내3동,"13,568","13,568","2,107","1,082","1,079","3,426","2,498","1,341","1,064",646,292,32,1,"6,737","6,737","1,082",515,515,"1,704","1,354",648,490,305,113,11,0,"6,831","6,831","1,025",567,564,"1,722","1,144",693,574,341,179,21,1
대구광역시 중구 대신동,"7,216","7,216",563,549,580,"1,133","1,096","1,079","1,078",739,353,44,2,"3,474","3,474",302,275,297,561,562,509,507,318,131,12,0,"3,742","3,742",261,274,283,572,534,570,571,421,222,32,2
대구광역시 중구 남산1동,"5,015","5,015",302,347,807,780,696,749,614,433,251,35,1,"2,358","2,358",152,164,356,389,349,371,293,177,101,6,0,"2,657","2,657",150,183,451,391,347,378,321,256,150,29,1
대구광역시 중구 남산2동,"7,349","7,349",737,586,790,"1,422","1,157","1,003",749,572,271,61,1,"3,435","3,435",358,260,343,683,597,488,357,234,102,13,0,"3,914","3,914",379,326,447,739,560,515,392,338,169,48,1
대구광역시 중구 남산3동,"5,771","5,771",288,479,455,652,855,936,930,713,386,77,0,"2,648","2,648",145,262,237,330,425,437,385,290,123,14,0,"3,123","3,123",143,217,218,322,430,499,545,423,263,63,0
대구광역시 중구 남산4동,"15,822","15,822","1,332","1,341","1,387","2,372","2,370","2,484","1,984","1,636",782,127,7,"7,376","7,376",706,685,650,"1,162","1,186","1,182",848,629,288,38,2,"8,446","8,446",626,656,737,"1,210","1,184","1,302","1,136","1,007",494,89,5
대구광역시 중구 대봉1동,"7,600","7,600",521,754,829,976,"1,102","1,277",937,634,482,88,0,"3,497","3,497",266,381,376,457,520,577,448,257,187,28,0,"4,103","4,103",255,373,453,519,582,700,489,377,295,60,0
대구광역시 중구 대봉2동,"5,907","5,907",530,479,594,"1,054",860,"1,032",659,465,209,25,0,"2,795","2,795",267,232,296,523,398,489,293,208,84,5,0,"3,112","3,112",263,247,298,531,462,543,366,257,125,20,0
대구광역시 동구 신암1동,"10,754","10,754",852,634,"1,051","1,544","1,444","1,610","1,580","1,219",726,92,2,"5,326","5,326",461,341,580,789,792,814,750,511,261,27,0,"5,428","5,428",391,293,471,755,652,796,830,708,465,65,2
대구광역시 동구 신암2동,"11,391","11,391",917,977,842,"1,686","1,718","1,796","1,570","1,173",613,98,1,"5,366","5,366",477,526,449,847,848,880,678,436,202,23,0,"6,025","6,025",440,451,393,839,870,916,892,737,411,75,1
대구광역시 동구 신암3동,"11,103","11,103","1,139",724,946,"2,228","1,558","1,545","1,407","1,030",461,64,1,"5,456","5,456",598,391,477,"1,132",817,751,650,435,187,18,0,"5,647","5,647",541,333,469,"1,096",741,794,757,595,274,46,1
대구광역시 동구 신암4동,"18,304","18,304","1,170",887,"2,259","3,586","2,132","2,899","2,829","1,720",726,93,3,"9,009","9,009",580,460,"1,099","1,941","1,133","1,416","1,316",756,278,30,0,"9,295","9,295",590,427,"1,160","1,645",999,"1,483","1,513",964,448,63,3
