학교명,관할구군청,주소,우편번호,전화번호,팩스번호
경북대학교사범대학부설고등학교,중구,"대구광역시 중구 달구벌대로 2178 (대봉동, 경북대학교사범대학부설중.고등학교)",41950,053-231-9400,053-425-7275
강동고등학교,동구,"대구광역시 동구 금강로 65 (신서동, 강동고등학교)",41089,053-231-6310,053-964-1554
경덕여자고등학교,서구,"대구광역시 서구 국채보상로34길 50 (중리동, 경덕여자고등학교)",41838,053-231-7417,053-557-0103
경북고등학교,수성구,"대구광역시 수성구 청호로 300 (황금동,경북고등학교)",42084,053-231-4001,053-766-6055
경북기계공업고등학교,달서구,대구광역시 달서구 월배로 275 (상인동),42748,053-231-8322,053-637-8196
경북여자고등학교,중구,"대구광역시 중구 중앙대로 288 (남산동, 경북여자고등학교)",41963,053-231-7115,053-421-3495
구암고등학교,북구,"대구광역시 북구 태암남로11길 7 (구암동, 구암고등학교)",41465,053-231-4500,053-312-9880
군위고등학교,군위군,대구광역시 군위군 군위읍 군청로 254-6 군위고등학교,43110,054-383-2781,054-382-6695
다사고등학교,달성군,대구광역시 달성군 다사읍 달구벌대로 839 (다사고등학교),42910,053-231-5002,053-593-9897
달성고등학교,서구,"대구광역시 서구 달구벌대로 1725 , 달성고등학교 (내당동)",41857,053-231-4281,053-561-2489
대곡고등학교,달서구,"대구광역시 달서구 도원남로 80 (도원동, 대곡고등학교)",42830,053-231-5668,053-231-5681
대구고등학교,남구,대구광역시 남구 중앙대로 171 (대명동),42416,053-231-4145,053-656-7949
대구공업고등학교,동구,"대구광역시 동구 대현로 135 (신암동, 대구공업고등학교)",41196,053-231-8200,053-959-4456
대구공업고등학교 테크노폴리스 캠퍼스,달성군,"대구광역시 달성군 유가읍 유가길 46 , 대구공업고등학교 테크노폴리스 캠퍼스 (유가읍)",42993,053-235-0661,053-235-0698
대구과학고등학교,수성구,대구광역시 수성구 동대구로 154 대구과학고등학교 (황금2동 613),42110,053-231-7532,053-765-0023
대구과학기술고등학교,서구,"대구광역시 서구 당산로 228 , 대구과학기술고등학교 (내당동,대구과학기술고등학교 )",41855,053-231-9000,053-551-0355
대구국제고등학교,북구,"대구광역시 북구 도남길 77 , 대구국제고등학교 (국우동)",41408,053-235-6597,053-311-6571
대구농업마이스터고등학교,수성구,"대구광역시 수성구 달구벌대로 3170 , 대구농업마이스터고등학교 (노변동)",42257,053-231-8014,053-795-9953
