사업코드,사업명,사업유형,사업지구,사용여부,공급유형,등록자번호,등록일시,수정자번호,수정일시
2001723,서대구미래비지니스발전소건립사업,기타,서대구미래비지니스발전소건립사업,Y,기타,20040174,2018-10-16 14:24,20040174,2018-10-16 14:54
1931324,국민임대사업,국민임대,국민임대주택,Y,임대(자체),20110227,2016-10-13 13:55,20040174,2017-07-28 17:52
1951720,대구대공원개발사업,공원개발,대구대공원,Y,기타,20040174,2017-09-12 18:01,20040174,2018-07-24 14:47
2061326,행복주택사업,행복주택임대,행복주택사업,Y,임대(자체),20190291,2021-06-17 11:36,20190291,2021-06-17 11:37
2091113,대구대공원 아파트 건립사업(A3),아파트분양,대구대공원 공동주택 건립사업(A3),Y,분양(자체),20160249,2021-10-22 10:14,20160249,2021-10-22 11:23
1591326,안심뉴타운 행복주택 건립사업,행복주택임대,안심뉴타운,Y,임대(자체),20170256,2023-02-13 11:09,20170256,2023-02-13 11:10
1921111,율하도시첨단산업단지 조성사업,택지분양,율하지구,Y,분양(자체),99999992,2016-09-26 10:46,20040174,2016-12-16 16:24
1591324,안심뉴타운청아람 건립사업,국민임대,안심뉴타운,Y,임대(자체),20040174,2017-10-13 14:29,20040174,2017-11-02 10:13
1981111,식품클러스터 개발사업,택지분양,식품클러스터 개발사업,Y,분양(자체),20040174,2018-10-11 14:10,20040174,2018-10-18 15:49
1991113,복현지구주거환경개선사업,아파트분양,복현지구주거환경개선사업,Y,분양(자체),20040174,2018-10-16 14:22,20040174,2018-10-16 14:54
2011725,장기미집행공원 조성사업,대행사업,장기미집행공원 사업,Y,기타,20190291,2019-10-14 14:28,20190291,2019-10-14 14:29
2021326,원대동 행복주택사업,행복주택임대,원대동 행복주택사업,Y,임대(자체),20190291,2019-10-29 18:08,99999992,2020-01-02 10:59
1321723,본사공통,기타,본사공통,Y,기타,구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1281521,레포츠센터,레포츠센터,레포츠센터,Y,레포츠센터,구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1881111,토지분양기타,택지분양,토지분양기타,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1701113,주택분양기타,아파트분양,주택분양기타,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1651319,임대기타,기타임대,임대기타,Y,임대(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
9991723,기타,기타,기타,Y,기타,구분회계코드,2016-08-02 9:44,99999992,2016-12-09 11:23
1131317,다가구매입임대,다가구임대,다가구매입임대,Y,임대(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1841622,체육시설사업,체육시설,체육시설사업,Y,체육시설,구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1311111,범물지구-택지개발사업,택지분양,범물지구,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1681111,장기지구-택지개발사업,택지분양,장기지구,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1911111,화원지구-도시개발사업,택지분양,화원지구,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1421111,성서4차-산업단지추가매입,택지분양,성서4차산업단지,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1081111,금호워터폴리스산업단지 조성사업,택지분양,금호워터폴리스,Y,분양(자체),구분회계코드,2016-08-02 9:44,20160244,2017-01-17 16:28
1821113,지산4단지아파트,아파트분양,지산4단지,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1781211,지능형자동차부품시험장,택지분양,지능형자동차부품시험장,Y,분양(대행),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1601316,영구임대사업,영구임대,영구임대사업,Y,임대(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1511113,시지4단지아파트-청솔타운,아파트분양,시지4단지,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1111113,노변-목련아파트,아파트분양,노변목련아파트,Y,분양(자체),구분회계코드,2016-08-02 9:44,90161202,2016-08-03 10:40
1621113,용산파크타운,아파트분양,용산파크타운,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1661113,장기누림타운,아파트분양,장기누림타운,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1381113,서변그린타운,아파트분양,서변그린타운,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1401113,선수촌(분양)-선수촌1단지,아파트분양,선수촌1단지,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1411113,선수촌(임대)-선수촌2단지,아파트분양,선수촌2단지,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1901113,학정청아람,아파트분양,학정청아람,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1221113,대실역 청아람1단지,아파트분양,대실역청아람1단지,Y,분양(자체),구분회계코드,2016-08-02 9:44,20160242,2017-04-07 11:44
1231113,대실역 청아람2단지,아파트분양,대실역청아람2단지,Y,분양(자체),구분회계코드,2016-08-02 9:44,20160242,2017-04-07 11:44
1031113,강나루타운,아파트분양,강나루타운,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1721113,죽곡청아람리슈빌 4단지,아파트분양,죽곡2지구B2블럭,Y,분양(자체),구분회계코드,2016-08-02 9:44,20160242,2017-04-07 11:44
1731113,죽곡청아람리슈빌 3단지,아파트분양,죽곡2지구B3블럭,Y,분양(자체),구분회계코드,2016-08-02 9:44,20160242,2017-04-07 11:44
1741113,죽곡청아람푸르지오 2단지,아파트분양,죽곡2지구B4블럭,Y,분양(자체),구분회계코드,2016-08-02 9:44,20160242,2017-04-07 11:44
1151315,달성2차 청아람,장기임대,달성2차산업단지2블럭,Y,임대(자체),구분회계코드,2016-08-02 9:44,20160242,2017-04-07 11:17
1761113,죽곡청아람푸르지오 1단지,아파트분양,죽곡지구44블럭,Y,분양(자체),구분회계코드,2016-08-02 9:44,20160242,2017-04-07 11:44
1361316,상인비둘기아파트,영구임대,상인비둘기아파트,Y,임대(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1431113,성서5차-공동주택건립사업,아파트분양,성서5차공동주택,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1161113,과학마을 청아람,아파트분양,달성2차청아람2단지,Y,분양(자체),구분회계코드,2016-08-02 9:44,20160242,2017-04-07 11:44
1771113,죽곡청아람 5단지,아파트분양,죽곡청아람5단지,Y,분양(자체),구분회계코드,2016-08-02 9:44,20160242,2017-04-07 11:47
1191314,대명동행복주택,기타분양,대명동행복주택,Y,임대(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1471113,수성알파시티청아람 건립사업,아파트분양,수성의료지구공동주택,Y,분양(자체),구분회계코드,2016-08-02 9:44,20040174,2016-12-09 13:19
1861113,침산2지구,아파트분양,침산2지구,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1101316,남산4지구-까치아파트,영구임대,남산4지구,Y,임대(자체),구분회계코드,2016-08-02 9:44,90161202,2016-08-03 10:39
1531316,신암2-1지구-강남아파트,영구임대,신암2-1지구,Y,임대(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1631113,이천2-1지구-이천강변타운,아파트분양,이천2-1지구,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1871113,침산3지구,아파트분양,침산3지구,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1561113,신천2-1지구-신천가람타운,아파트분양,신천2-1지구,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1261113,동인1지구-동인시티타운,아파트분양,동인1지구,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
1331113,삼덕청아람리슈빌 ,아파트분양,삼덕3주거환경개선,Y,분양(자체),구분회계코드,2016-08-02 9:44,20040174,2017-11-14 17:13
1541113,신암2-2지구-신암그린,아파트분양,신암2-2지구,Y,분양(자체),구분회계코드,2016-08-02 9:44,구분회계코드,2016-08-02 9:44
