사업지역,소재지코드,소재지,정렬순서,법정동,등록자번호,등록일시,수정자번호,수정일시
대구선폐선부지개발사업(각산지구),1,동구 각산동,1,대구광역시 동구 각산동,20040176,2014-03-12 18:06,20040176,2014-03-12 18:13
대구선폐선부지개발사업(각산지구),2,동구 신서동,2,대구광역시 동구 신서동,20040176,2014-03-12 18:06,20040176,2014-03-12 18:14
대구선폐선부지개발사업(각산지구),3,동구 동호동,3,대구광역시 동구 동호동,20040176,2014-03-12 18:06,20040176,2014-03-12 18:14
국가과학산업단지,1,구지면 고봉리,1,대구광역시 달성군 구지면 고봉리,20040176,2012-03-22 10:21,20040176,2012-03-22 10:22
국가과학산업단지,2,구지면 예현리,2,대구광역시 달성군 구지면 예현리,20040176,2012-03-22 10:21,20040176,2012-03-22 10:22
국가과학산업단지,3,구지면 응암리,3,대구광역시 달성군 구지면 응암리,20040176,2012-03-22 10:22,20040176,2012-03-22 10:22
국가과학산업단지,4,구지면 창리,4,대구광역시 달성군 구지면 창리,20040176,2012-03-22 10:22,20040176,2012-03-22 10:22
국가과학산업단지,5,현풍면 대리,5,대구광역시 달성군 현풍면 대리,20040176,2012-03-22 10:22,20040176,2012-03-22 10:22
금호워터폴리스산업단지 개발사업,1,대구광역시 북구 검단동,1,대구광역시 북구 검단동,20170257,2017-09-12 12:56,20170257,2017-09-12 12:56
다가구매입임대사업(2005년),1,남구 이천동,1,대구광역시 남구 이천동,admin,2005-11-07 16:18,admin,2007-10-02 22:12
다가구매입임대사업(2005년),2,남구 대명동,2,대구광역시 남구 대명동,admin,2005-11-07 16:18,admin,2007-10-02 22:12
다가구매입임대사업(2005년),3,서구 내당동,3,대구광역시 서구 내당동,admin,2005-11-07 16:18,admin,2007-10-02 22:12
다가구매입임대사업(2005년),4,서구 평리동,4,대구광역시 서구 평리동,admin,2005-11-07 16:18,admin,2007-10-02 22:12
다가구매입임대사업(2005년),5,북구 복현동,5,대구광역시 북구 복현동,admin,2005-11-07 16:18,admin,2007-10-02 22:12
다가구매입임대사업(2005년),6,북구 읍내동,6,대구광역시 북구 읍내동,admin,2005-12-02 13:18,admin,2007-10-02 22:12
다가구매입임대사업(2005년),7,달서구 상인동,7,대구광역시 달서구 상인동,admin,2005-12-02 13:18,admin,2007-10-02 22:12
다가구매입임대사업(2005년),8,달서구 감삼동,8,대구광역시 달서구 감삼동,admin,2005-12-02 13:18,admin,2007-10-02 22:12
다가구매입임대사업(2005년),9,수성구 황금동,9,대구광역시 수성구 황금동,admin,2005-12-02 13:18,admin,2007-10-02 22:12
달성2차산업단지 개발사업,2,구지면 예현리,,대구광역시 달성군 구지면 예현리,admin,2007-09-14 9:02,admin,2007-10-02 22:12
달성2차산업단지 개발사업,1,구지면 내리,,대구광역시 달성군 구지면 내리,admin,2007-09-14 9:02,admin,2007-10-02 22:12
달성2차산업단지 개발사업,3,구지면 응암리,,대구광역시 달성군 구지면 응암리,admin,2007-09-14 9:02,admin,2007-10-02 22:12
달성2차산업단지 도로(소로2-구27호선)공사,1,달성군 구지면 내리,1,대구광역시 달성군 구지면 내리,admin,2005-11-09 9:09,admin,2007-10-02 22:12
달성2차산업단지하수도(낙동강방류)설치공사,1,달성군 구지면 내리,1,대구광역시 달성군 구지면 내리,admin,2005-11-09 9:09,admin,2007-10-02 22:12
대구경북과학기술원 학위과정부지 조성사업,3,현풍면 상리,,대구광역시 달성군 현풍면 상리,20070204,2010-06-03 10:35,자료이관,2016-09-02 19:46
대구경북과학기술원 학위과정부지 조성사업,2,현풍면 부리,,대구광역시 달성군 현풍면 부리,20070204,2010-06-03 10:35,자료이관,2016-09-02 19:46
대구경북과학기술원 학위과정부지 조성사업,1,유가면 쌍계리,,대구광역시 달성군 유가면 쌍계리,20070204,2010-06-03 10:35,자료이관,2016-09-02 19:46
